x-axis,1,REF2
second,Volt,Volt
+1.26660000E-03,-3.43605640E-03,-3.55505790E-03
+1.26662500E-03,-3.43024836E-03,-3.54180462E-03
+1.26665000E-03,-3.42172823E-03,-3.53131320E-03
+1.26667500E-03,-3.43707068E-03,-3.45885857E-03
+1.26670000E-03,-3.42046037E-03,-3.50268611E-03
+1.26672500E-03,-3.41419343E-03,-3.49479131E-03
+1.26675000E-03,-3.44412728E-03,-3.49488266E-03
+1.26677500E-03,-3.47831878E-03,-3.52930332E-03
+1.26680000E-03,-3.47797837E-03,-3.58032584E-03
+1.26682500E-03,-3.46644914E-03,-3.56922476E-03
+1.26685000E-03,-3.37648087E-03,-3.62108006E-03
+1.26687500E-03,-3.31971393E-03,-3.42691273E-03
+1.26690000E-03,-3.42279076E-03,-3.53536040E-03
+1.26692500E-03,-3.41167219E-03,-3.54470668E-03
+1.26695000E-03,-3.34864796E-03,-3.44109316E-03
+1.26697500E-03,-3.36961242E-03,-3.51709689E-03
+1.26700000E-03,-3.39011586E-03,-3.55867997E-03
+1.26702500E-03,-3.45085794E-03,-3.47736721E-03
+1.26705000E-03,-3.39286174E-03,-3.50534183E-03
+1.26707500E-03,-3.34309833E-03,-3.47505370E-03
+1.26710000E-03,-3.30120530E-03,-3.45163313E-03
+1.26712500E-03,-3.44791639E-03,-3.57037774E-03
+1.26715000E-03,-3.43192899E-03,-3.56938577E-03
+1.26717500E-03,-3.38458552E-03,-3.62583913E-03
+1.26720000E-03,-3.37330022E-03,-3.52430334E-03
+1.26722500E-03,-3.33948078E-03,-3.53136445E-03
+1.26725000E-03,-3.45280450E-03,-3.50107965E-03
+1.26727500E-03,-3.39232565E-03,-3.56469845E-03
+1.26730000E-03,-3.40994814E-03,-3.53329142E-03
+1.26732500E-03,-3.42421088E-03,-3.47777968E-03
+1.26735000E-03,-3.32983058E-03,-3.50207765E-03
+1.26737500E-03,-3.46798987E-03,-3.43907031E-03
+1.26740000E-03,-3.50181413E-03,-3.45040929E-03
+1.26742500E-03,-3.45208238E-03,-3.49600188E-03
+1.26745000E-03,-3.36655780E-03,-3.55427789E-03
+1.26747500E-03,-3.48031630E-03,-3.47569382E-03
+1.26750000E-03,-3.42025504E-03,-3.51474871E-03
+1.26752500E-03,-3.41295452E-03,-3.55681481E-03
+1.26755000E-03,-3.49857287E-03,-3.57423228E-03
+1.26757500E-03,-3.47834562E-03,-3.47047735E-03
+1.26760000E-03,-3.40240792E-03,-3.42977770E-03
+1.26762500E-03,-3.43787964E-03,-3.45892189E-03
+1.26765000E-03,-3.41528491E-03,-3.44911821E-03
+1.26767500E-03,-3.38843041E-03,-3.52280090E-03
+1.26770000E-03,-3.41854969E-03,-3.53468139E-03
+1.26772500E-03,-3.43278891E-03,-3.58172395E-03
+1.26775000E-03,-3.34362959E-03,-3.52217737E-03
+1.26777500E-03,-3.38289042E-03,-3.50342873E-03
+1.26780000E-03,-3.43909233E-03,-3.49102391E-03
+1.26782500E-03,-3.41007839E-03,-3.55563318E-03
+1.26785000E-03,-3.39824042E-03,-3.50229806E-03
+1.26787500E-03,-3.38752225E-03,-3.52284462E-03
+1.26790000E-03,-3.42857949E-03,-3.46481676E-03
+1.26792500E-03,-3.45623873E-03,-3.49318967E-03
+1.26795000E-03,-3.44380135E-03,-3.48057711E-03
+1.26797500E-03,-3.40812218E-03,-3.49505211E-03
+1.26800000E-03,-3.40305979E-03,-3.43873021E-03
+1.26802500E-03,-3.34982627E-03,-3.54217488E-03
+1.26805000E-03,-3.34324848E-03,-3.58925573E-03
